ID,Is_Lead
VBENBARO,0.033751009
CCMEWNKY,0.852912629
VK3KGA9M,0.057267977
TT8RPZVC,0.028296718
SHQZEYTZ,0.025834191
MZZAQMPT,0.157623562
Y88TW36I,0.107054453
3UGOAQNU,0.05111997
VVUKMUJT,0.950285411
9R363ZXS,0.174326354
BLISM6JE,0.055436163
CH8S7JK7,0.225040057
EAHDPXEJ,0.818748152
BNUK9PRF,0.295817679
GP2PG6FJ,0.057987745
WNQCSN8A,0.046986683
32DN4YVZ,0.420039344
GXAMDANM,0.058016364
MXETLUP4,0.088221103
MPXK6TVE,0.833679724
LBSIME2K,0.108047473
D6ORJTM6,0.057727773
HGDIBAKA,0.821563339
UUZYL9DZ,0.465526718
AUGE3VWK,0.058480194
MX7GOX6Q,0.094066907
TQN6K35W,0.077064945
QQDRMQQN,0.551583266
UP6GC6F4,0.07296364
BMHBUVHB,0.623304272
KGLDW86A,0.175397363
FQEOMOP4,0.127061068
DYWM5MEU,0.18136057
DXHGXV8F,0.054149123
AVFBFQKC,0.207521513
DBIDKYMV,0.123712531
KYZHMEBY,0.243132344
SSFEBUGF,0.051752205
MGJTAG8X,0.497899169
MP6BERDO,0.146621503
GXZ8ED68,0.060081795
ICTFGWQR,0.599759877
EAYHTRKH,0.028259854
6FN97QLQ,0.112255724
3H5MZDDW,0.397765088
2DXZZWSN,0.03746151
MM4QIRE5,0.09117042
HJWVYXUA,0.198719716
RBRSJUP3,0.815801597
YFRQKGXW,0.396429312
N3SADEBV,0.021544306
G2A2YYXY,0.054713906
XMGA3WT3,0.064623776
KVZQPSGI,0.168890223
UAKARBBG,0.050807767
WYKKL85Z,0.186286706
GHNYYGRR,0.112636252
UBAJANWT,0.060387121
LSARSF7U,0.020621748
4CNSJVVR,0.228917602
JRHJSWYO,0.293519425
FHZ8SVVI,0.078110997
JUIRE47M,0.861291456
GDIVN2GL,0.070889956
WMF3DYE3,0.799090576
MAQEHEWK,0.163541433
2W8DLKFU,0.056151104
AKGRML6H,0.119923215
B7WUUGCY,0.04202415
TLJOYATM,0.414248055
UH6ZDM3W,0.876295555
7IP5SSRR,0.763848352
PV85PMEB,0.487258625
FGDOY4NI,0.091228533
7YYIXJQE,0.05914375
BHW42XPW,0.080377094
3PKEEAT4,0.303527486
ACFPZ3LM,0.056152311
6GORGNYN,0.800071979
AEPQTMJK,0.28183791
S6FNZFKK,0.057571025
JTYNEKRQ,0.647622275
GPXDPHHC,0.044886503
O8TMKNNB,0.037094431
XSQVHKYG,0.055426258
MJ3CZRAE,0.022290599
3NSQEYBJ,0.417383027
SXVBASGH,0.056521408
5ZIGZYSS,0.044821714
FQSHBCUT,0.357973087
MU45XUBP,0.047470625
BVULDPBI,0.049938744
82GRNPFG,0.821204484
KKBNELBF,0.053757934
HXQGBDGY,0.058120045
28HDZICG,0.559672546
GHBPKPJC,0.059807952
FDWZFSSC,0.846179521
FWTIWZF3,0.051918866
JYMHVPMY,0.028900035
AHUDO2T6,0.828325701
ACDHABS3,0.227118209
5NTYJJDV,0.082713249
2M4VPY4V,0.144969198
KAHP9XLF,0.080162573
YRLEWZFQ,0.168498051
JZWVLXHJ,0.156043211
JZZSXUKT,0.301086253
93RURE2J,0.836343884
4RNB6FDV,0.218212673
27E7HMMG,0.097035356
2QEFQQWN,0.056930844
DDTCD2XI,0.097612
VGVEYSEG,0.804173744
WCXVE7RK,0.054716434
RTN4R3UE,0.052075929
K2PVS4RB,0.059798557
Q36J686Z,0.086963989
NWKHMEOF,0.143879321
PVJYQQGT,0.315351808
GPUMRNWC,0.05523278
LXHCDSVH,0.124765411
BNIUPSVK,0.092468084
FW3QI3WW,0.105319008
IEEUGXMY,0.86421411
FVVXDLBO,0.064351675
UC2JJB6Y,0.08596985
3WPAHP52,0.506770974
HDTCJJOE,0.510396343
UCSB9GKK,0.07458732
HANBFYTH,0.13492699
FLUU2HNV,0.051315871
64PIYWDJ,0.172320828
9AHNH8ZX,0.848964763
KLHUI2SE,0.034398085
YRHYUJFW,0.823540103
